;T(entropy,1,0.01,0.4);RF(1,all,all);RF(1,all,all)σ²;RF(1,all,sqrt);RF(1,all,sqrt)σ²;RF(1,sqrt,all);RF(1,sqrt,all)σ²;RF(1,sqrt,sqrt);RF(1,sqrt,sqrt)σ²;RF(50,all,all);RF(50,all,all)σ²;RF(50,all,sqrt);RF(50,all,sqrt)σ²;RF(50,sqrt,all);RF(50,sqrt,all)σ²;RF(50,sqrt,sqrt);RF(50,sqrt,sqrt)σ²;RF(100,all,all);RF(100,all,all)σ²;RF(100,all,sqrt);RF(100,all,sqrt)σ²;RF(100,sqrt,all);RF(100,sqrt,all)σ²;RF(100,sqrt,sqrt);RF(100,sqrt,sqrt)σ²
7933197233428195239,1,1,40,(30, 25, 15);(14.29, 53.57, 60.71, 57.69, 57.14);(12.86, 56.43, 56.43, 55.44, 56.43, 0.0);(0.015688775510204072, 0.027040816326530614, 0.0034438775510204096, 0.0044467473890978364, 0.003922193877551018, 0.0);(15.0, 65.71, 49.29, 56.44, 57.5, 0.0);(0.005994897959183669, 0.0029336734693877573, 0.0021683673469387738, 0.001191686945176553, 0.001498724489795917, 0.0);(25.0, 63.57, 61.43, 62.3, 62.5, 0.0);(0.010841836734693876, 0.012372448979591838, 0.006632653061224493, 0.00216549465644246, 0.002710459183673469, 0.0);(17.86, 55.0, 62.86, 59.11, 58.93, 0.0);(0.02232142857142856, 0.02334183673469388, 0.004209183673469391, 0.005875440870065005, 0.00558035714285714, 0.0);(33.57, 67.14, 66.43, 66.61, 66.79, 0.0);(0.0035714285714285696, 0.0028061224489795925, 0.0003826530612244895, 0.0005286363164477906, 0.0008928571428571422, 0.0);(30.0, 62.86, 67.14, 65.69, 65.0, 0.0);(0.0010204081632653043, 0.0016581632653061252, 0.0008928571428571421, 0.0002786966169741777, 0.0002551020408163261, 0.0);(35.71, 68.57, 67.14, 67.62, 67.86, 0.0);(0.0019132653061224433, 0.0021683673469387738, 0.0008928571428571421, 0.00038983721957381304, 0.0004783163265306108, 0.0);(32.14, 65.71, 66.43, 66.16, 66.07, 0.0);(0.0019132653061224513, 0.0016581632653061237, 0.00038265306122448945, 0.0003467848044567617, 0.00047831632653061283, 0.0);(32.86, 66.43, 66.43, 66.6, 66.43, 24.87);(0.0021683673469387703, 0.0003826530612244895, 0.002933673469387756, 0.0011984948811074167, 0.0005420918367346927, 0.00015075573654945487);(30.0, 62.14, 67.86, 65.97, 65.0, 27.28);(0.00038265306122448707, 0.0016581632653061256, 0.0012755102040816315, 0.00019976811841703195, 9.566326530612177e-5, 0.00016119834978424845);(38.57, 67.86, 70.71, 69.85, 69.29, 25.51);(0.0008928571428571412, 0.0012755102040816315, 0.00025510204081632634, 0.00010779402737248924, 0.0002232142857142853, 0.0002763191719142319);(35.0, 65.0, 70.0, 68.41, 67.5, 24.87);(0.0015306122448979554, 0.0015306122448979602, 0.0003826530612244895, 0.00028706316093126647, 0.00038265306122448885, 0.00020949173780248945)
7933197233428195239,1,1,60,(30, 75, 50);(0.0, 64.29, 35.71, 50.0, 50.0);(17.86, 64.29, 53.57, 57.97, 58.93, 0.0);(0.007653061224489789, 0.012755102040816329, 0.0051020408163265285, 0.001328239699695565, 0.0019132653061224472, 0.0);(13.57, 54.29, 59.29, 57.29, 56.79, 0.0);(0.001530612244897958, 0.0015306122448979578, 0.0035714285714285735, 0.0006830899994749389, 0.00038265306122448945, 0.0);(20.0, 60.71, 59.29, 60.1, 60.0, 0.0);(0.004209183673469395, 0.010841836734693884, 0.009948979591836738, 0.001263708183222429, 0.0010522959183673487, 0.0);(18.57, 60.71, 57.86, 58.86, 59.29, 0.0);(0.014285714285714278, 0.007015306122448983, 0.002168367346938777, 0.0031248940200263127, 0.0035714285714285696, 0.0);(30.71, 64.29, 66.43, 65.69, 65.36, 0.0);(0.0010204081632653045, 0.0012755102040816354, 0.0003826530612244895, 0.00017212015356558093, 0.0002551020408163261, 0.0);(30.0, 65.0, 65.0, 64.95, 65.0, 0.0);(0.0016581632653061226, 0.0028061224489795934, 0.00025510204081632634, 0.00012634381378393532, 0.00041454081632653065, 0.0);(30.71, 62.14, 68.57, 66.44, 65.36, 0.0);(0.0010204081632653051, 0.0016581632653061254, 0.0008928571428571422, 0.0002930902364909506, 0.00025510204081632634, 0.0);(29.29, 62.14, 67.14, 65.54, 64.64, 0.0);(0.002168367346938777, 0.002933673469387759, 0.0028061224489795925, 0.00088633885305933, 0.0005420918367346942, 0.0);(27.14, 60.0, 67.14, 64.66, 63.57, 28.32);(0.001020408163265306, 0.00025510204081632634, 0.0008928571428571421, 0.0004469028660481657, 0.0002551020408163265, 9.789333542172478e-5);(27.14, 63.57, 63.57, 63.55, 63.57, 27.92);(0.0016581632653061256, 0.0008928571428571452, 0.00025510204081632785, 0.0003334606744348241, 0.0004145408163265314, 6.392515051402444e-5);(29.29, 60.71, 68.57, 65.97, 64.64, 28.61);(0.002168367346938777, 0.0006377551020408177, 0.001530612244897958, 0.0009350800318179238, 0.0005420918367346942, 0.000529065357941542);(30.71, 60.71, 70.0, 67.0, 65.36, 30.35);(0.0010204081632653045, 0.0, 0.0010204081632653053, 0.0005880703484549645, 0.0002551020408163261, 0.0006813376145352017)
7933197233428195239,1,1,60,(30, 45, 30);(25.0, 71.43, 53.57, 60.61, 62.5);(27.86, 65.71, 62.14, 63.59, 63.93, 0.0);(0.004081632653061233, 0.0016581632653061237, 0.003571428571428575, 0.00144696098155154, 0.0010204081632653082, 0.0);(17.86, 62.14, 55.71, 58.3, 58.93, 0.0);(0.0057397959183673455, 0.004209183673469391, 0.0010204081632653051, 0.0010964823188512897, 0.0014349489795918366, 0.0);(27.86, 65.71, 62.14, 63.42, 63.93, 0.0);(0.013647959183673458, 0.005484693877551024, 0.0035714285714285752, 0.003070730862526504, 0.0034119897959183645, 0.0);(22.86, 67.14, 55.71, 60.58, 61.43, 0.0);(0.013137755102040821, 0.004719387755102042, 0.011224489795918368, 0.0033398350533926447, 0.0032844387755102053, 0.0);(30.71, 66.43, 64.29, 64.99, 65.36, 0.0);(0.0016581632653061226, 0.0016581632653061241, 0.0, 0.0001993018891520919, 0.0004145408163265306, 0.0);(29.29, 65.71, 63.57, 64.32, 64.64, 0.0);(0.0015306122448979576, 0.001020408163265308, 0.0002551020408163279, 0.0002802203269019662, 0.0003826530612244895, 0.0);(30.71, 64.29, 66.43, 65.68, 65.36, 0.0);(0.0016581632653061226, 0.0012755102040816354, 0.0003826530612244895, 0.00033023672432442626, 0.00041454081632653065, 0.0);(30.71, 66.43, 64.29, 65.01, 65.36, 0.0);(0.0010204081632653045, 0.0010204081632653053, 0.0, 0.00011438979079542947, 0.0002551020408163261, 0.0);(30.71, 65.71, 65.0, 65.18, 65.36, 27.52);(0.0029336734693877504, 0.0035714285714285744, 0.00025510204081632634, 0.00031085253619325936, 0.0007334183673469376, 0.00020949173780249105);(28.57, 64.29, 64.29, 64.27, 64.29, 28.5);(0.0006377551020408157, 0.0006377551020408177, 0.0, 8.161664180261314e-5, 0.00015943877551020393, 0.00020166027096875307);(27.86, 62.14, 65.71, 64.45, 63.93, 27.96);(0.0008928571428571428, 0.0003826530612244919, 0.00038265306122448945, 0.0002559157931563297, 0.0002232142857142857, 0.00020949173780249108);(26.43, 62.14, 64.29, 63.49, 63.21, 27.39);(0.00038265306122449184, 0.00038265306122449184, 0.0, 5.2490131855211436e-5, 9.566326530612296e-5, 0.00017770441336995767)
7933197233428195239,1,2,20,(30, 75, 50);(25.0, 67.86, 57.14, 61.29, 62.5);(30.0, 69.29, 60.71, 63.92, 65.0, 0.0);(0.004209183673469387, 0.00739795918367347, 0.004464285714285716, 0.0008863844491092627, 0.001052295918367347, 0.0);(22.14, 62.86, 59.29, 60.45, 61.07, 0.0);(0.03022959183673469, 0.024617346938775514, 0.008673469387755102, 0.007020056242799473, 0.007557397959183673, 0.0);(28.57, 64.29, 64.29, 64.43, 64.29, 0.0);(0.006377551020408157, 0.005739795918367349, 0.005102040816326534, 0.0015657248674214755, 0.0015943877551020393, 0.0);(31.43, 67.86, 63.57, 64.61, 65.71, 0.0);(0.021938775510204074, 0.019770408163265304, 0.002168367346938779, 0.0038939111182662227, 0.005484693877551019, 0.0);(50.0, 85.0, 65.0, 70.85, 75.0, 0.0);(0.004464285714285714, 0.002168367346938778, 0.0015306122448979602, 0.0008005812202624605, 0.0011160714285714285, 0.0);(42.14, 77.86, 64.29, 68.58, 71.07, 0.0);(0.004719387755102041, 0.0034438775510204052, 0.0019132653061224513, 0.0007971290246200027, 0.0011798469387755105, 0.0);(47.14, 80.71, 66.43, 70.6, 73.57, 0.0);(0.0021683673469387772, 0.002933673469387753, 0.0003826530612244895, 0.00015152150635006905, 0.0005420918367346944, 0.0);(45.0, 77.86, 67.14, 70.35, 72.5, 0.0);(0.0016581632653061226, 0.000892857142857142, 0.000892857142857142, 0.000408211803128183, 0.00041454081632653065, 0.0);(51.43, 83.57, 67.86, 72.25, 75.71, 29.38);(0.00038265306122449184, 0.0003826530612244895, 0.0006377551020408157, 0.00017619662807985336, 9.566326530612296e-5, 0.00018208160388440814);(45.0, 77.86, 67.14, 70.31, 72.5, 27.26);(0.0010204081632653053, 0.001530612244897958, 0.00025510204081632634, 8.703160059185231e-5, 0.00025510204081632634, 6.460960137833837e-5);(49.29, 80.71, 68.57, 71.99, 74.64, 28.96);(0.00025510204081632785, 0.00038265306122448945, 0.00025510204081632634, 7.222791290900628e-5, 6.377551020408196e-5, 5.004222224155938e-5);(46.43, 78.57, 67.86, 70.99, 73.21, 27.26);(0.0012755102040816315, 0.0006377551020408157, 0.0006377551020408157, 0.00030681292634986655, 0.00031887755102040787, 6.460960137833835e-5)
7933197233428195239,1,2,20,(30, 45, 30);(28.57, 60.71, 67.86, 65.38, 64.29);(27.14, 65.0, 62.14, 63.82, 63.57, 0.0);(0.026530612244897972, 0.010459183673469387, 0.017602040816326534, 0.0070592271532321695, 0.006632653061224493, 0.0);(20.0, 60.0, 60.0, 60.14, 60.0, 0.0);(0.010586734693877557, 0.007270408163265307, 0.007908163265306124, 0.0026164398012229165, 0.002646683673469389, 0.0);(25.0, 64.29, 60.71, 61.94, 62.5, 0.0);(0.010841836734693876, 0.007015306122448983, 0.001913265306122451, 0.00188636109577911, 0.002710459183673469, 0.0);(15.71, 54.29, 61.43, 58.44, 57.86, 0.0);(0.008673469387755109, 0.006632653061224493, 0.004081632653061228, 0.0027016282640658267, 0.0021683673469387772, 0.0);(37.14, 71.43, 65.71, 67.58, 68.57, 0.0);(0.0029336734693877504, 0.0012755102040816315, 0.001020408163265308, 0.0006478316552565236, 0.0007334183673469374, 0.0);(40.0, 71.43, 68.57, 69.55, 70.0, 0.0);(0.004081632653061218, 0.0031887755102040787, 0.0028061224489795934, 0.0011104855184918261, 0.0010204081632653047, 0.0);(40.0, 72.14, 67.86, 69.32, 70.0, 0.0);(0.0015306122448979556, 0.000892857142857142, 0.002551020408163263, 0.0008931311548184408, 0.00038265306122448885, 0.0);(39.29, 74.29, 65.0, 68.03, 69.64, 0.0);(0.0025510204081632673, 0.00025510204081632634, 0.0015306122448979626, 0.0007443499609781468, 0.0006377551020408167, 0.0);(39.29, 74.29, 65.0, 67.95, 69.64, 27.46);(0.004464285714285714, 0.0021683673469387738, 0.0008928571428571446, 0.0007479639718767025, 0.0011160714285714285, 7.733621840704098e-5);(42.14, 72.86, 69.29, 70.35, 71.07, 29.05);(0.0008928571428571429, 0.0010204081632653051, 0.0003826530612244895, 0.00016053623535897712, 0.0002232142857142857, 9.26075787328303e-5);(41.43, 72.86, 68.57, 69.84, 70.71, 27.96);(0.0016581632653061193, 0.001658163265306121, 0.00025510204081632634, 0.00021293329005925938, 0.00041454081632652984, 0.0002878064061398709);(38.57, 74.29, 64.29, 67.56, 69.29, 27.43);(0.0002551020408163247, 0.00025510204081632634, 0.0006377551020408177, 0.00014547379960245057, 6.377551020408118e-5, 0.00015662933667475967)
7933197233428195239,1,2,40,(30, 75, 50);(46.43, 75.0, 71.43, 72.41, 73.21);(25.71, 65.71, 60.0, 61.93, 62.86, 0.0);(0.011096938775510207, 0.018239795918367347, 0.0040816326530612275, 0.001587896133047645, 0.002774234693877552, 0.0);(18.57, 58.57, 60.0, 59.76, 59.29, 0.0);(0.025765306122448962, 0.004846938775510205, 0.011734693877551024, 0.007606130706350957, 0.006441326530612241, 0.0);(27.86, 70.71, 57.14, 62.72, 63.93, 0.0);(0.008545918367346939, 0.005994897959183674, 0.01275510204081633, 0.0025090850059790214, 0.0021364795918367347, 0.0);(27.14, 67.14, 60.0, 62.7, 63.57, 0.0);(0.011862244897959194, 0.009821428571428571, 0.005994897959183674, 0.0027925068617684983, 0.002965561224489798, 0.0);(47.86, 79.29, 68.57, 71.62, 73.93, 0.0);(0.0003826530612244918, 0.0002551020408163263, 0.00025510204081632634, 0.00010692077841368865, 9.566326530612295e-5, 0.0);(48.57, 80.71, 67.86, 71.44, 74.29, 0.0);(0.004209183673469388, 0.004209183673469389, 0.0, 0.0002598205236575092, 0.001052295918367347, 0.0);(47.86, 80.0, 67.86, 71.31, 73.93, 0.0);(0.0016581632653061259, 0.0016581632653061209, 0.0, 0.00010695595421866029, 0.00041454081632653146, 0.0);(45.71, 77.86, 67.86, 70.75, 72.86, 0.0);(0.0015306122448979602, 0.0015306122448979576, 0.0, 0.00011480576343322981, 0.00038265306122449005, 0.0);(45.0, 77.14, 67.86, 70.62, 72.5, 29.82);(0.0003826530612244871, 0.0003826530612244895, 0.0006377551020408157, 0.0001835210625203387, 9.566326530612177e-5, 4.50309342939934e-5);(47.14, 79.29, 67.86, 71.14, 73.57, 27.96);(0.0008928571428571428, 0.0008928571428571421, 0.0, 6.0983838449531926e-5, 0.0002232142857142857, 0.00012138773592293874);(46.43, 77.86, 68.57, 71.24, 73.21, 27.52);(0.0012755102040816315, 0.0008928571428571422, 0.00025510204081632634, 0.00019836198548965194, 0.00031887755102040787, 0.0001801237371759736);(46.43, 78.57, 67.86, 70.93, 73.21, 28.41);(0.001913265306122451, 0.0019132653061224474, 0.0, 0.0001412022803965222, 0.0004783163265306128, 0.00046401440989897555)
7933197233428195239,1,2,40,(30, 45, 30);(32.14, 64.29, 67.86, 66.67, 66.07);(26.43, 66.43, 60.0, 62.29, 63.21, 0.0);(0.008673469387755095, 0.01122448979591837, 0.002806122448979594, 0.0014627447211204199, 0.0021683673469387738, 0.0);(19.29, 61.43, 57.86, 59.21, 59.64, 0.0);(0.007397959183673478, 0.005994897959183677, 0.0021683673469387733, 0.0014335629251700662, 0.0018494897959183696, 0.0);(21.43, 61.43, 60.0, 60.8, 60.71, 0.0);(0.0235969387755102, 0.014285714285714284, 0.014923469387755106, 0.0060745802171100595, 0.005899234693877549, 0.0);(20.71, 57.86, 62.86, 61.1, 60.36, 0.0);(0.014923469387755099, 0.0021683673469387772, 0.006122448979591841, 0.004771501742051192, 0.003730867346938775, 0.0);(47.86, 81.43, 66.43, 70.78, 73.93, 0.0);(0.00229591836734694, 0.003443877551020405, 0.0003826530612244895, 0.0001270553919185569, 0.000573979591836735, 0.0);(42.14, 77.86, 64.29, 68.54, 71.07, 0.0);(0.0021683673469387785, 0.0034438775510204052, 0.0006377551020408177, 0.00016118609262507142, 0.0005420918367346946, 0.0);(45.0, 78.57, 66.43, 70.04, 72.5, 0.0);(0.00229591836734694, 0.002551020408163263, 0.0003826530612244895, 0.0002238020527654663, 0.000573979591836735, 0.0);(39.29, 70.71, 68.57, 69.26, 69.64, 0.0);(0.0006377551020408157, 0.0021683673469387738, 0.0008928571428571421, 0.00010431505004766578, 0.00015943877551020393, 0.0);(48.57, 81.43, 67.14, 71.22, 74.29, 28.05);(0.0022959183673469446, 0.0021683673469387738, 0.00025510204081632634, 0.00021038308541856, 0.0005739795918367362, 0.00019187093742658058);(42.86, 76.43, 66.43, 69.47, 71.43, 27.7);(0.0019132653061224513, 0.0010204081632653053, 0.0003826530612244895, 0.0003079555801248705, 0.00047831632653061283, 0.00019187093742658058);(45.0, 76.43, 68.57, 70.79, 72.5, 26.11);(0.004209183673469395, 0.0048469387755102, 0.00025510204081632634, 0.00029988676354549383, 0.0010522959183673487, 0.00013705066959041398);(40.0, 71.43, 68.57, 69.44, 70.0, 27.96);(0.0008928571428571429, 0.0012755102040816315, 0.00025510204081632634, 0.00010558374835281211, 0.0002232142857142857, 0.0005423290782363554)
1735640862149943821,1,1,40,(30, 25, 15);(35.71, 71.43, 64.29, 66.67, 67.86);(13.57, 52.86, 60.71, 57.84, 56.79, 0.0);(0.01556122448979592, 0.006632653061224489, 0.014668367346938783, 0.004960631286853969, 0.0038903061224489803, 0.0);(31.43, 71.43, 60.0, 64.15, 65.71, 0.0);(0.015561224489795914, 0.01084183673469388, 0.005994897959183675, 0.0029311856127767115, 0.003890306122448979, 0.0);(26.43, 60.71, 65.71, 63.72, 63.21, 0.0);(0.015688775510204075, 0.022321428571428575, 0.007397959183673472, 0.002679315309114707, 0.003922193877551019, 0.0);(9.29, 50.71, 58.57, 56.23, 54.64, 0.0);(0.0399234693877551, 0.012372448979591841, 0.02589285714285714, 0.014297509075246679, 0.009980867346938777, 0.0);(40.0, 70.0, 70.0, 69.8, 70.0, 0.0);(0.009821428571428568, 0.008035714285714285, 0.0003826530612244894, 0.0013330071195103653, 0.002455357142857142, 0.0);(31.43, 64.29, 67.14, 66.31, 65.71, 0.0);(0.004081632653061227, 0.0031887755102040847, 0.0034438775510204083, 0.0015461530810679382, 0.0010204081632653069, 0.0);(37.14, 69.29, 67.86, 68.29, 68.57, 0.0);(0.0067602040816326404, 0.00548469387755102, 0.0019132653061224472, 0.0013715215842692928, 0.0016900510204081601, 0.0);(35.71, 67.86, 67.86, 67.82, 67.86, 0.0);(0.008928571428571428, 0.0031887755102040826, 0.0019132653061224472, 0.0020772065719658977, 0.002232142857142857, 0.0);(40.71, 71.43, 69.29, 70.03, 70.36, 27.08);(0.002933673469387755, 0.0006377551020408157, 0.0022959183673469416, 0.0010028271905672115, 0.0007334183673469387, 0.00015075573654945617);(37.14, 68.57, 68.57, 68.54, 68.57, 27.79);(0.008035714285714283, 0.004719387755102043, 0.0021683673469387738, 0.001817805212620028, 0.002008928571428571, 2.349440050121395e-5);(37.86, 67.86, 70.0, 69.18, 68.93, 26.48);(0.011224489795918375, 0.006377551020408163, 0.0010204081632653051, 0.002052972999655944, 0.002806122448979594, 0.00017110776581787072);(35.0, 67.14, 67.86, 67.65, 67.5, 24.42);(0.0034438775510204057, 0.0008928571428571421, 0.0012755102040816315, 0.0009627992553333388, 0.0008609693877551015, 0.0002486490719711793)
1735640862149943821,1,1,60,(30, 75, 50);(14.29, 46.43, 67.86, 59.09, 57.14);(24.29, 57.14, 67.14, 64.65, 62.14, 0.0);(0.005357142857142854, 0.00510204081632653, 0.0149234693877551, 0.005785743772688115, 0.0013392857142857134, 0.0);(25.0, 57.86, 67.14, 64.77, 62.5, 0.0);(0.021683673469387755, 0.015561224489795925, 0.021938775510204078, 0.01050962471282138, 0.005420918367346938, 0.0);(28.57, 65.0, 63.57, 64.07, 64.29, 0.0);(0.015306122448979583, 0.005994897959183676, 0.004081632653061227, 0.003521199838937304, 0.0038265306122448957, 0.0);(22.86, 60.71, 62.14, 61.39, 61.43, 0.0);(0.013775510204081628, 0.02806122448979592, 0.008035714285714288, 0.00232674158988214, 0.003443877551020407, 0.0);(37.14, 62.86, 74.29, 70.94, 68.57, 0.0);(0.0016581632653061226, 0.0016581632653061254, 0.00025510204081632634, 0.0002628226815757712, 0.00041454081632653065, 0.0);(37.14, 62.14, 75.0, 71.32, 68.57, 0.0);(0.0016581632653061226, 0.0022959183673469425, 0.0006377551020408157, 0.00032434356078439786, 0.00041454081632653065, 0.0);(37.14, 65.0, 72.14, 70.04, 68.57, 0.0);(0.0010204081632653043, 0.0015306122448979602, 0.000892857142857142, 0.000341354121959627, 0.0002551020408163261, 0.0);(36.43, 65.0, 71.43, 69.34, 68.21, 0.0);(0.00854591836734693, 0.005994897959183677, 0.0012755102040816315, 0.0017289297516290508, 0.002136479591836733, 0.0);(44.29, 69.29, 75.0, 73.57, 72.14, 26.98);(0.0010204081632653051, 0.0010204081632653051, 0.0012755102040816315, 0.0005675643038280406, 0.0002551020408163263, 3.810606126527506e-5);(40.71, 63.57, 77.14, 73.44, 70.36, 27.35);(0.005484693877551011, 0.0034438775510204104, 0.0003826530612244895, 0.0011315702479338858, 0.0013711734693877522, 2.3494400501213952e-5);(40.71, 66.43, 74.29, 72.15, 70.36, 26.9);(0.0010204081632653051, 0.0003826530612244895, 0.0008928571428571421, 0.0005300411522633744, 0.00025510204081632634, 0.000395489075103767);(36.43, 65.71, 70.71, 69.09, 68.21, 28.14);(0.004081632653061223, 0.002933673469387758, 0.0002551020408163263, 0.000646888056997947, 0.0010204081632653058, 0.0005540762784869605)
1735640862149943821,1,1,60,(30, 45, 30);(28.57, 64.29, 64.29, 64.29, 64.29);(7.86, 52.14, 55.71, 53.91, 53.93, 0.0);(0.011734693877551008, 0.006122448979591841, 0.001658163265306121, 0.002894797931834966, 0.002933673469387752, 0.0);(15.0, 50.0, 65.0, 59.65, 57.5, 0.0);(0.013647959183673458, 0.0025510204081632647, 0.014285714285714284, 0.006824934781837768, 0.0034119897959183645, 0.0);(17.86, 66.43, 51.43, 57.85, 58.93, 0.0);(0.007015306122448977, 0.009948979591836736, 0.009311224489795914, 0.0011873814447674938, 0.0017538265306122442, 0.0);(22.86, 62.86, 60.0, 61.39, 61.43, 0.0);(0.0029336734693877547, 0.012500000000000002, 0.01109693877551021, 0.0007249816380297389, 0.0007334183673469388, 0.0);(35.71, 65.0, 70.71, 68.95, 67.86, 0.0);(0.0006377551020408157, 0.00025510204081632634, 0.00025510204081632634, 0.00018668679637340655, 0.00015943877551020393, 0.0);(35.71, 62.14, 73.57, 70.15, 67.86, 0.0);(0.001913265306122451, 0.0010204081632653084, 0.00038265306122448945, 0.00046864398422090587, 0.0004783163265306128, 0.0);(37.86, 67.14, 70.71, 69.64, 68.93, 0.0);(0.008035714285714276, 0.0021683673469387772, 0.0021683673469387738, 0.0021812724651552465, 0.002008928571428569, 0.0);(38.57, 67.14, 71.43, 70.16, 69.29, 0.0);(0.0040816326530612205, 0.0015306122448979613, 0.0012755102040816315, 0.0011683371573481447, 0.0010204081632653051, 0.0);(38.57, 66.43, 72.14, 70.47, 69.29, 27.7);(0.0002551020408163247, 0.00038265306122448945, 0.00025510204081632634, 9.765894757347736e-5, 6.377551020408118e-5, 0.00031913227347482283);(39.29, 62.86, 76.43, 72.75, 69.64, 26.81);(0.0006377551020408157, 0.0010204081632653088, 0.0003826530612244895, 0.0001762073193315005, 0.00015943877551020393, 0.00016250293680006317);(37.14, 62.86, 74.29, 70.91, 68.57, 26.9);(0.0022959183673469394, 0.0035714285714285752, 0.00025510204081632634, 0.0001565495158365804, 0.000573979591836735, 0.00016054507009162746);(36.43, 62.86, 73.57, 70.35, 68.21, 26.64);(0.0034438775510204044, 0.0016581632653061252, 0.00038265306122448945, 0.0007992636423405646, 0.0008609693877551011, 0.00038569974156159385)
